cell,expt,isi,n_pulses,pulse_width,rep,spikes,type
11,pinp,100,10,10,39,1085.7333333438,train
11,pinp,100,10,10,39,1510.30000001037,train
11,pinp,100,10,10,40,509.766666673386,train
11,pinp,100,10,10,41,1269.76666666633,train
11,pinp,100,10,10,44,265.366666669252,train
11,pinp,100,10,10,44,274.066666669569,train
11,pinp,100,10,10,44,652.800000002571,train
11,pinp,100,10,10,44,1793.2000000028,train
11,pinp,100,10,10,45,-537.500000003092,train
11,pinp,100,10,10,45,308.899999996811,train
11,pinp,100,10,10,46,-49.4999999946231,train
11,pinp,100,10,10,46,1220.20000000566,train
11,pinp,100,10,10,46,1266.26666667198,train
11,pinp,100,10,10,46,1784.16666667226,train
11,pinp,100,10,10,47,-525.133333335816,train
11,pinp,100,10,10,48,505.166666671812,train
11,pinp,100,10,10,48,550.033333338433,train
11,pinp,100,10,10,48,606.200000005174,train
11,pinp,100,10,10,48,1151.5666666719,train
11,pinp,100,10,10,48,1203.90000000498,train
11,pinp,100,10,10,48,1258.23333333847,train
11,pinp,100,10,10,48,1369.50000000479,train
11,pinp,100,10,10,48,1396.36666667184,train
11,pinp,100,10,10,48,1403.9333333385,train
11,pinp,100,10,10,48,1438.86666667186,train
11,pinp,100,10,10,48,1454.56666667178,train
11,pinp,100,10,10,48,1473.96666667146,train
11,pinp,100,10,10,48,1495.7666666719,train
11,pinp,100,10,10,49,776.100000000042,train
11,pinp,100,10,10,50,-194.999999990159,train
11,pinp,100,10,10,50,-151.699999989887,train
11,pinp,100,10,10,50,306.033333343294,train
11,pinp,100,10,10,50,1186.7666666767,train
11,pinp,100,10,10,50,1223.26666667641,train
11,pinp,100,10,10,50,1256.50000000996,train
19,pinp,NaN,NaN,20,1,-580.333333324688,pulse
19,pinp,NaN,NaN,20,1,-571.366666657923,pulse
19,pinp,NaN,NaN,20,1,-382.166666658122,pulse
19,pinp,NaN,NaN,20,1,-364.766666657943,pulse
19,pinp,NaN,NaN,20,1,-8.63333332472394,pulse
19,pinp,NaN,NaN,20,1,5.16666667544996,pulse
19,pinp,NaN,NaN,20,1,637.166666675512,pulse
19,pinp,NaN,NaN,20,1,1253.60000000865,pulse
19,pinp,NaN,NaN,20,1,1302.06666667527,pulse
19,pinp,NaN,NaN,20,1,1638.50000000866,pulse
19,pinp,NaN,NaN,20,2,422.166666673547,pulse
19,pinp,NaN,NaN,20,3,-356.766666658586,pulse
19,pinp,NaN,NaN,20,3,868.200000008073,pulse
19,pinp,NaN,NaN,20,3,1213.00000000792,pulse
19,pinp,NaN,NaN,20,4,-265.733333326352,pulse
19,pinp,NaN,NaN,20,4,-13.6666666594465,pulse
19,pinp,NaN,NaN,20,4,480.600000007144,pulse
19,pinp,NaN,NaN,20,4,489.53333334066,pulse
19,pinp,NaN,NaN,20,4,498.13333334032,pulse
19,pinp,NaN,NaN,20,4,804.53333334026,pulse
19,pinp,NaN,NaN,20,4,1633.30000000724,pulse
19,pinp,NaN,NaN,20,4,1798.5333333404,pulse
19,pinp,NaN,NaN,20,5,-596.066666659226,pulse
19,pinp,NaN,NaN,20,5,-430.833333326063,pulse
19,pinp,NaN,NaN,20,5,-282.299999992574,pulse
19,pinp,NaN,NaN,20,5,568.133333340484,pulse
19,pinp,NaN,NaN,20,5,575.833333340597,pulse
19,pinp,NaN,NaN,20,5,1750.36666667393,pulse
19,pinp,NaN,NaN,20,6,-452.266666660307,pulse
19,pinp,NaN,NaN,20,7,2.56666667110039,pulse
19,pinp,NaN,NaN,20,7,298.400000004222,pulse
19,pinp,NaN,NaN,20,8,-45.2333333337265,pulse
19,pinp,NaN,NaN,20,8,-15.8000000005813,pulse
19,pinp,NaN,NaN,20,8,12.1333333327129,pulse
19,pinp,NaN,NaN,20,8,409.933333332901,pulse
19,pinp,NaN,NaN,20,8,551.733333332777,pulse
19,pinp,NaN,NaN,20,8,700.699999999415,pulse
19,pinp,NaN,NaN,20,8,731.266666666215,pulse
19,pinp,NaN,NaN,20,8,741.666666666333,pulse
19,pinp,NaN,NaN,20,8,869.533333332583,pulse
19,pinp,NaN,NaN,20,8,910.1666666661,pulse
19,pinp,NaN,NaN,20,8,924.333333332925,pulse
19,pinp,NaN,NaN,20,8,958.766666666179,pulse
19,pinp,NaN,NaN,20,8,974.899999999252,pulse
19,pinp,NaN,NaN,20,8,1192.133333333,pulse
