spikes,icis,rep
307.966666666616,128,6
918.766666666605,128,6
953.36666666661,128,6
1052.0333333333,128,6
1130.53333333327,128,6
1301.6666666666,128,6
1512.49999999994,128,6
2406.59999999995,128,6
2511.49999999994,128,6
2581.7666666666,128,6
2646.89999999994,128,6
-697.466666666616,256,6
-592.566666666622,256,6
-522.299999999959,256,6
-457.166666666628,256,6
-72.3666666666104,256,6
-63.4333333332906,256,6
-35.8333333332848,256,6
416.700000000041,256,6
419.233333333366,256,6
642.866666666698,256,6
677.000000000029,256,6
858.366666666698,256,6
1514.4666666667,256,6
1722.26666666669,256,6
1964.46666666673,256,6
2129.63333333339,256,6
2139.70000000004,256,6
2348.40000000005,256,6
2480.90000000002,256,6
2677.93333333338,256,6
2692.43333333338,256,6
2703.03333333338,256,6
-427.133333333302,1,7
-273.633333333302,1,7
-61.3666666666395,1,7
25.1666666666861,1,7
2054.33333333337,1,7
2184.4666666667,1,7
2512.63333333336,1,7
2537.93333333335,1,7
-804.666666666657,2,7
-520.56666666668,2,7
-450.56666666668,2,7
-126.600000000006,2,7
48.7999999999884,2,7
435.433333333349,2,7
570.766666666692,2,7
929.466666666674,2,7
1001.5,2,7
1264.63333333333,2,7
1278.60000000001,2,7
1501.73333333334,2,7
1549.23333333334,2,7
1846.53333333333,2,7
1851.10000000001,2,7
1929.36666666667,2,7
1951.26666666666,2,7
2216.06666666668,2,7
2284.93333333332,2,7
2551.60000000001,2,7
2780.33333333334,2,7
2829.30000000002,2,7
-670.833333333198,4,7
-628.166666666511,4,7
-554.766666666517,4,7
-433.433333333203,4,7
-354.799999999872,4,7
-299.566666666506,4,7
-143.966666666529,4,7
-70.3333333331975,4,7
-8.33333333316841,4,7
-3.13333333318587,4,7
8.26666666680831,4,7
20.1333333334769,4,7
28.9333333334653,4,7
1762.46666666682,4,7
1923.50000000015,4,7
2049.10000000015,4,7
2304.70000000016,4,7
2588.80000000013,4,7
2658.80000000013,4,7
2982.76666666681,4,7
-919.766666666634,8,7
-905.933333333291,8,7
-847.766666666605,8,7
-689.666666666599,8,7
-579.599999999948,8,7
-484.29999999993,8,7
-405.333333333256,8,7
-371.899999999936,8,7
-259.099999999948,8,7
-236.133333333273,8,7
143.966666666733,8,7
160.033333333384,8,7
405.066666666709,8,7
790.566666666738,8,7
1718.9666666667,8,7
2197.50000000006,8,7
2382.2333333334,8,7
2521.53333333338,8,7
2531.76666666672,8,7
2670.06666666674,8,7
2678.30000000005,8,7
2686.63333333339,8,7
2690.63333333342,8,7
2834.63333333339,8,7
2873.50000000006,8,7
-990.399999999965,16,7
-980.333333333314,16,7
-771.633333333302,16,7
-639.133333333331,16,7
-442.099999999977,16,7
-427.599999999977,16,7
-416.999999999971,16,7
394.266666666692,16,7
874.933333333349,16,7
1574.10000000001,16,7
1847.33333333334,16,7
1894.06666666671,16,7
2465.20000000001,16,7
2507.8666666667,16,7
2581.26666666669,16,7
2702.60000000001,16,7
2781.23333333334,16,7
2836.4666666667,16,7
2992.06666666668,16,7
-897.36666666664,32,7
-766.466666666645,32,7
-642.299999999959,32,7
11.7333333333663,32,7
14.2666666666919,32,7
331.800000000017,32,7
1040.46666666667,32,7
1310.53333333335,32,7
1629.26666666669,32,7
1666.23333333337,32,7
1768.56666666668,32,7
1867.53333333335,32,7
1909.53333333335,32,7
2143.56666666668,32,7
2172.83333333337,32,7
2606.70000000001,32,7
2695.43333333335,32,7
2812.70000000004,32,7
2830.60000000003,32,7
2931.60000000003,32,7
-965.799999999901,64,7
-936.533333333209,64,7
-502.66666666657,64,7
-413.933333333232,64,7
-296.666666666541,64,7
-278.766666666546,64,7
-177.766666666546,64,7
56.866666666785,64,7
241.566666666768,64,7
249.433333333465,64,7
329.266666666779,64,7
