cell,expt,isi,n_pulses,pulse_width,rep,spikes,type
1,pinp,NaN,NaN,20,43,767.099999999999,pulse
1,pinp,NaN,NaN,20,43,778.400000000005,pulse
1,pinp,NaN,NaN,20,43,815.233333333339,pulse
1,pinp,NaN,NaN,20,43,1020.23333333334,pulse
1,pinp,NaN,NaN,20,43,1352.83333333334,pulse
1,pinp,NaN,NaN,20,43,1397.43333333334,pulse
1,pinp,NaN,NaN,20,43,1420.20000000001,pulse
1,pinp,NaN,NaN,20,44,-180.000000000007,pulse
1,pinp,NaN,NaN,20,44,-101.533333333336,pulse
1,pinp,NaN,NaN,20,44,-67.0666666666762,pulse
1,pinp,NaN,NaN,20,44,161.333333333317,pulse
1,pinp,NaN,NaN,20,44,166.499999999985,pulse
1,pinp,NaN,NaN,20,44,202.133333333322,pulse
1,pinp,NaN,NaN,20,44,825.833333333321,pulse
1,pinp,NaN,NaN,20,44,1194.2,pulse
1,pinp,NaN,NaN,20,44,1758.9,pulse
1,pinp,NaN,NaN,20,45,-427.700000000002,pulse
1,pinp,NaN,NaN,20,45,226.699999999994,pulse
1,pinp,NaN,NaN,20,45,320.166666666665,pulse
1,pinp,NaN,NaN,20,45,541.899999999998,pulse
1,pinp,NaN,NaN,20,45,664.799999999985,pulse
1,pinp,NaN,NaN,20,45,895.799999999994,pulse
1,pinp,NaN,NaN,20,45,1323.1,pulse
1,pinp,NaN,NaN,20,45,1327.49999999999,pulse
1,pinp,NaN,NaN,20,45,1421.03333333333,pulse
1,pinp,NaN,NaN,20,45,1744.53333333332,pulse
1,pinp,NaN,NaN,20,46,-447.400000000016,pulse
1,pinp,NaN,NaN,20,46,-365.133333333347,pulse
1,pinp,NaN,NaN,20,46,541.799999999981,pulse
1,pinp,NaN,NaN,20,46,1463.06666666665,pulse
1,pinp,NaN,NaN,20,46,1504.13333333331,pulse
1,pinp,NaN,NaN,20,47,-354.033333333334,pulse
1,pinp,NaN,NaN,20,47,125.833333333333,pulse
1,pinp,NaN,NaN,20,47,237.333333333339,pulse
1,pinp,NaN,NaN,20,47,340.266666666665,pulse
1,pinp,NaN,NaN,20,47,437.066666666666,pulse
1,pinp,NaN,NaN,20,47,968.433333333337,pulse
1,pinp,NaN,NaN,20,47,1340.50000000001,pulse
1,pinp,NaN,NaN,20,47,1439.76666666667,pulse
1,pinp,NaN,NaN,20,47,1748.7,pulse
1,pinp,NaN,NaN,20,48,-464.633333333339,pulse
1,pinp,NaN,NaN,20,48,-203.53333333334,pulse
1,pinp,NaN,NaN,20,48,93.4666666666715,pulse
1,pinp,NaN,NaN,20,48,173.233333333329,pulse
1,pinp,NaN,NaN,20,48,235.833333333332,pulse
1,pinp,NaN,NaN,20,48,434.83333333333,pulse
1,pinp,NaN,NaN,20,48,1149.06666666667,pulse
1,pinp,NaN,NaN,20,48,1376.56666666666,pulse
1,pinp,NaN,NaN,20,48,1761.96666666667,pulse
1,pinp,NaN,NaN,20,48,1792.06666666667,pulse
1,pinp,NaN,NaN,20,49,-446.200000000005,pulse
1,pinp,NaN,NaN,20,49,-416.1,pulse
1,pinp,NaN,NaN,20,49,-246.066666666678,pulse
1,pinp,NaN,NaN,20,49,-158.799999999999,pulse
1,pinp,NaN,NaN,20,49,-76.2,pulse
1,pinp,NaN,NaN,20,49,97.0666666666631,pulse
1,pinp,NaN,NaN,20,49,136.233333333323,pulse
1,pinp,NaN,NaN,20,49,903.366666666656,pulse
1,pinp,NaN,NaN,20,49,930.733333333322,pulse
1,pinp,NaN,NaN,20,49,1039.09999999999,pulse
1,pinp,NaN,NaN,20,49,1056.46666666667,pulse
1,pinp,NaN,NaN,20,49,1398.63333333332,pulse
1,pinp,NaN,NaN,20,49,1495.63333333333,pulse
1,pinp,NaN,NaN,20,50,-182.766666666666,pulse
1,pinp,NaN,NaN,20,50,104.500000000002,pulse
1,pinp,NaN,NaN,20,50,200.966666666659,pulse
1,pinp,NaN,NaN,20,50,1143.83333333333,pulse
1,pinp,NaN,NaN,20,50,1191.50000000001,pulse
1,pinp,NaN,NaN,20,50,1216.5,pulse
1,pinp,100,10,10,1,-253.699999999995,train
1,pinp,100,10,10,1,-110.566666666656,train
1,pinp,100,10,10,1,-4.93333333332657,train
1,pinp,100,10,10,1,456.433333333337,train
1,pinp,100,10,10,1,461.933333333334,train
1,pinp,100,10,10,1,470.56666666667,train
1,pinp,100,10,10,1,544.966666666667,train
1,pinp,100,10,10,1,1274.70000000001,train
1,pinp,100,10,10,2,-336.13333333335,train
1,pinp,100,10,10,2,72.59999999998,train
1,pinp,100,10,10,2,783.699999999982,train
1,pinp,100,10,10,2,1000.76666666665,train
1,pinp,100,10,10,2,1535.49999999998,train
1,pinp,100,10,10,3,-242.166666666677,train
1,pinp,100,10,10,3,-168.666666666681,train
1,pinp,100,10,10,3,178.633333333323,train
1,pinp,100,10,10,3,189.333333333323,train
1,pinp,100,10,10,3,641.766666666655,train
1,pinp,100,10,10,3,802.299999999988,train
1,pinp,100,10,10,3,854.966666666655,train
1,pinp,100,10,10,3,987.366666666659,train
1,pinp,100,10,10,3,991.799999999998,train
1,pinp,100,10,10,3,1100.39999999999,train
1,pinp,100,10,10,3,1588.76666666666,train
1,pinp,100,10,10,4,-457.166666666666,train
1,pinp,100,10,10,4,-283.100000000005,train
1,pinp,100,10,10,4,181.233333333338,train
1,pinp,100,10,10,4,591.93333333333,train
1,pinp,100,10,10,4,969.999999999999,train
1,pinp,100,10,10,4,973.133333333337,train
1,pinp,100,10,10,4,1323.36666666667,train
1,pinp,100,10,10,5,-486.633333333316,train
1,pinp,100,10,10,5,-188.833333333321,train
1,pinp,100,10,10,5,-153.866666666659,train
1,pinp,100,10,10,5,274.166666666673,train
1,pinp,100,10,10,5,502.666666666684,train
1,pinp,100,10,10,5,1126.73333333335,train
1,pinp,100,10,10,5,1175.16666666668,train
1,pinp,100,10,10,5,1786.73333333334,train
1,pinp,100,10,10,6,-512.09999999999,train
1,pinp,100,10,10,6,-467.166666666657,train
1,pinp,100,10,10,6,861.700000000013,train
1,pinp,100,10,10,6,1186.20000000001,train
