spikes,type,rep,pulse_width,isi,n_pulses,expt,cell
178.633333333323,train,3,10,100,10,pinp,1
189.333333333323,train,3,10,100,10,pinp,1
641.766666666655,train,3,10,100,10,pinp,1
802.299999999988,train,3,10,100,10,pinp,1
854.966666666655,train,3,10,100,10,pinp,1
987.366666666659,train,3,10,100,10,pinp,1
991.799999999998,train,3,10,100,10,pinp,1
1100.39999999999,train,3,10,100,10,pinp,1
1588.76666666666,train,3,10,100,10,pinp,1
-457.166666666666,train,4,10,100,10,pinp,1
-283.100000000005,train,4,10,100,10,pinp,1
181.233333333338,train,4,10,100,10,pinp,1
591.93333333333,train,4,10,100,10,pinp,1
969.999999999999,train,4,10,100,10,pinp,1
973.133333333337,train,4,10,100,10,pinp,1
1323.36666666667,train,4,10,100,10,pinp,1
-486.633333333316,train,5,10,100,10,pinp,1
-188.833333333321,train,5,10,100,10,pinp,1
-153.866666666659,train,5,10,100,10,pinp,1
274.166666666673,train,5,10,100,10,pinp,1
502.666666666684,train,5,10,100,10,pinp,1
1126.73333333335,train,5,10,100,10,pinp,1
1175.16666666668,train,5,10,100,10,pinp,1
1786.73333333334,train,5,10,100,10,pinp,1
-512.09999999999,train,6,10,100,10,pinp,1
-467.166666666657,train,6,10,100,10,pinp,1
861.700000000013,train,6,10,100,10,pinp,1
1186.20000000001,train,6,10,100,10,pinp,1
1217.76666666668,train,6,10,100,10,pinp,1
1515.23333333334,train,6,10,100,10,pinp,1
364.266666666651,train,7,10,100,10,pinp,1
985.299999999981,train,7,10,100,10,pinp,1
1474.83333333334,train,7,10,100,10,pinp,1
1775.33333333334,train,7,10,100,10,pinp,1
-523.300000000006,train,8,10,100,10,pinp,1
-329.866666666675,train,8,10,100,10,pinp,1
-251.533333333356,train,8,10,100,10,pinp,1
-184.066666666695,train,8,10,100,10,pinp,1
190.96666666664,train,8,10,100,10,pinp,1
444.29999999997,train,8,10,100,10,pinp,1
592.666666666645,train,8,10,100,10,pinp,1
875.433333333319,train,8,10,100,10,pinp,1
981.666666666655,train,8,10,100,10,pinp,1
994.299999999981,train,8,10,100,10,pinp,1
1529.39999999998,train,8,10,100,10,pinp,1
1625.13333333331,train,8,10,100,10,pinp,1
-145.266666666657,train,9,10,100,10,pinp,1
51.4333333333354,train,9,10,100,10,pinp,1
69.5666666666739,train,9,10,100,10,pinp,1
757.233333333346,train,9,10,100,10,pinp,1
1274.43333333335,train,9,10,100,10,pinp,1
1392.33333333334,train,9,10,100,10,pinp,1
1500.96666666667,train,9,10,100,10,pinp,1
691.600000000022,train,10,10,100,10,pinp,1
719.333333333338,train,10,10,100,10,pinp,1
755.566666666681,train,10,10,100,10,pinp,1
1168.43333333335,train,10,10,100,10,pinp,1
1265.83333333335,train,10,10,100,10,pinp,1
1621.96666666668,train,10,10,100,10,pinp,1
1699.40000000003,train,10,10,100,10,pinp,1
-599.433333333309,train,11,10,100,10,pinp,1
161.333333333346,train,11,10,100,10,pinp,1
900.166666666678,train,11,10,100,10,pinp,1
1012.70000000002,train,11,10,100,10,pinp,1
